show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,duration_number,duration_type,year_added,duration_num,content_length_category,original_vs_licensed,duration_int
s27,Movie,Minsara Kanavu,Rajiv Menon,"Arvind Swamy, Kajol, Prabhu Deva, Nassar, S.P. Balasubrahmanyam, Girish Karnad",Unknown,2021-09-21,1997-01-01,TV-PG,147 min,"Comedies, International Movies, Music & Musicals",a tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.,147.0,min,2021.0,147.0,Long Movie,Licensed,147.0
s28,Movie,Grown Ups,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten",United States,2021-09-20,2010-01-01,PG-13,103 min,Comedies,"mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",103.0,min,2021.0,103.0,Medium Movie,Licensed,103.0
s29,Movie,Dark Skies,Scott Stewart,"Keri Russell, Josh Hamilton, J.K. Simmons, Dakota Goyo, Kadan Rockett, L.J. Benet, Rich Hutchman, Myndy Crist, Annie Thurman, Jake Brennan",United States,2021-09-19,2013-01-01,PG-13,97 min,"Horror Movies, Sci-Fi & Fantasy","a family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.",97.0,min,2021.0,97.0,Medium Movie,Licensed,97.0
s30,Movie,Paranoia,Robert Luketic,"Liam Hemsworth, Gary Oldman, Amber Heard, Harrison Ford, Lucas Till, Embeth Davidtz, Julian Mcmahon, Josh Holloway, Richard Dreyfuss, Angela Sarafyan","United States, India, France",2021-09-19,2013-01-01,PG-13,106 min,Thrillers,"blackmailed by his company's ceo, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",106.0,min,2021.0,106.0,Medium Movie,Licensed,106.0
s31,Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary","Abhishek Banerjee, Rinku Rajguru, Delzad Hiwale, Kunal Kapoor, Zoya Hussain, Nikhil Dwivedi, Palomi Ghosh",Unknown,2021-09-17,2021-01-01,TV-14,111 min,"Dramas, Independent Movies, International Movies","as big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",111.0,min,2021.0,111.0,Medium Movie,Original,111.0
s32,Tv Show,Chicago Party Aunt,Unknown,"Lauren Ash, Rory O'Malley, Rupaul Charles, Jill Talley, Ike Barinholtz, Jon Barinholtz, Matthew Craig, Bob Odenkirk, Mike Hagerty, Katie Rich, Chris Witaske",Unknown,2021-09-17,2021-01-01,TV-MA,1 season,Tv Comedies,chicago party aunt diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.,1.0,season,2021.0,1.0,Single Season Show,Original,1.0
s33,Tv Show,Sex Education,Unknown,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey, Connor Swindells, Kedar Williams-Stirling, Alistair Petrie",United Kingdom,2021-09-17,2020-01-01,TV-MA,3 seasons,"British Tv Shows, International Tv Shows, Tv Comedies","insecure otis has all the answers when it comes to sex advice, thanks to his therapist mom. so rebel maeve proposes a school sex-therapy clinic.",3.0,season,2021.0,3.0,Multi Season Show,Licensed,3.0
s34,Tv Show,Squid Game,Unknown,"Lee Jung-Jae, Park Hae-Soo, Wi Ha-Jun, Oh Young-Soo, Jung Ho-Yeon, Heo Sung-Tae, Kim Joo-Ryoung, Tripathi Anupam, You Seong-Joo, Lee You-Mi",Unknown,2021-09-17,2021-01-01,TV-MA,1 season,"International Tv Shows, Tv Dramas, Tv Thrillers","hundreds of cash-strapped players accept a strange invitation to compete in children's games. inside, a tempting prize awaits — with deadly high stakes.",1.0,season,2021.0,1.0,Single Season Show,Original,1.0
s35,Tv Show,Tayo And Little Wizards,Unknown,"Dami Lee, Jason Lee, Bommie Catherine Han, Jennifer Waescher, Nancy Kim",Unknown,2021-09-17,2020-01-01,TV-Y7,1 season,Kids' Tv,tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.,1.0,season,2021.0,1.0,Single Season Show,Licensed,1.0
s36,Movie,The Father Who Moves Mountains,Daniel Sandu,"Adrian Titieni, Elena Purea, Judith State, Valeriu Andriuță, Tudor Smoleanu, Virgil Aioanei, Radu Botar, Petronela Grigorescu, Bogdan Nechifor, Cristian Bota",Unknown,2021-09-17,2021-01-01,TV-MA,110 min,"Dramas, International Movies, Thrillers","when his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him.",110.0,min,2021.0,110.0,Medium Movie,Original,110.0
s37,Movie,The Stronghold,Cédric Jimenez,"Gilles Lellouche, Karim Leklou, François Civil, Adèle Exarchopoulos, Kenza Fortas, Cyril Lecomte, Michaël Abiteboul, Idir Azougli, Vincent Darmuzey, Jean-Yves Berteloot",Unknown,2021-09-17,2021-01-01,TV-MA,105 min,"Action & Adventure, Dramas, International Movies","tired of the small-time grind, three marseille cops get a chance to bust a major drug network. but lines blur when a key informant makes a big ask.",105.0,min,2021.0,105.0,Medium Movie,Original,105.0
s38,Tv Show,Angry Birds,Unknown,"Antti Pääkkönen, Heljä Heikkinen, Lynne Guaglione, Pasi Ruohonen, Rauno Ahonen",Finland,2021-09-16,2018-01-01,TV-Y7,1 season,"Kids' Tv, Tv Comedies","birds red, chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.",1.0,season,2021.0,1.0,Single Season Show,Licensed,1.0
s39,Movie,Birth Of The Dragon,George Nolfi,"Billy Magnussen, Ron Yuan, Qu Jingjing, Terry Chen, Vanness Wu, Jin Xing, Philip Ng, Xia Yu, Yu Xia","China, Canada, United States",2021-09-16,2017-01-01,PG-13,96 min,"Action & Adventure, Dramas","a young bruce lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a shaolin master in this film based on real events.",96.0,min,2021.0,96.0,Medium Movie,Licensed,96.0
s40,Tv Show,Chhota Bheem,Unknown,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",India,2021-09-16,2021-01-01,TV-Y7,3 seasons,Kids' Tv,"a brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow dholakpur villagers from evil.",3.0,season,2021.0,3.0,Multi Season Show,Original,3.0
s41,Tv Show,He-Man And The Masters Of The Universe,Unknown,"Yuri Lowenthal, Kimberly Brooks, Antony Del Rio, Trevor Devall, Ben Diskin, Grey Griffin, David Kaye, Tom Kenny, Judy Alice Lee, Roger Craig Smith, Fred Tatasciore",United States,2021-09-16,2021-01-01,TV-Y7,1 season,"Kids' Tv, Tv Sci-Fi & Fantasy",mighty teen adam and his heroic squad of misfits discover the legendary power of grayskull — and their destiny to defend eternia from sinister skeletor.,1.0,season,2021.0,1.0,Single Season Show,Original,1.0
s42,Movie,Jaws,Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman",United States,2021-09-16,1975-01-01,PG,124 min,"Action & Adventure, Classic Movies, Dramas","when an insatiable great white shark terrorizes amity island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.",124.0,min,2021.0,124.0,Long Movie,Licensed,124.0
s43,Movie,Jaws 2,Jeannot Szwarc,"Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer, Collin Wilcox Paxton, Ann Dusenberry, Mark Gruner, Barry Coe, Susan French",United States,2021-09-16,1978-01-01,PG,116 min,"Dramas, Horror Movies, Thrillers","four years after the last deadly shark attacks, police chief martin brody fights to protect amity island from another killer great white.",116.0,min,2021.0,116.0,Medium Movie,Licensed,116.0
s44,Movie,Jaws 3,Joe Alves,"Dennis Quaid, Bess Armstrong, Simon Maccorkindale, Louis Gossett Jr., John Putch, Lea Thompson, P.H. Moriarty, Dan Blasko, Liz Morris, Lisa Maurer",United States,2021-09-16,1983-01-01,PG,98 min,"Action & Adventure, Horror Movies, Thrillers","after the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.",98.0,min,2021.0,98.0,Medium Movie,Licensed,98.0
s45,Movie,Jaws: The Revenge,Joseph Sargent,"Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young, Michael Caine, Judith Barsi, Mitchell Anderson, Lynn Whitfield",United States,2021-09-16,1987-01-01,PG-13,91 min,"Action & Adventure, Horror Movies, Thrillers","after another deadly shark attack, ellen brody has had enough of amity island and moves to the caribbean – but a great white shark follows her there.",91.0,min,2021.0,91.0,Medium Movie,Licensed,91.0
s46,Movie,My Heroes Were Cowboys,Tyler Greco,Unknown,Unknown,2021-09-16,2021-01-01,PG,23 min,Documentaries,"robin wiltshire's painful childhood was rescued by westerns. now he lives on the frontier of his dreams, training the horses he loves for the big screen.",23.0,min,2021.0,23.0,Short Movie,Original,23.0
s47,Movie,Safe House,Daniel Espinosa,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, Rubén Blades, Nora Arnezeder, Robert Patrick, Liam Cunningham, Joel Kinnaman","South Africa, United States, Japan",2021-09-16,2012-01-01,R,115 min,Action & Adventure,young cia operative matt weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,115.0,min,2021.0,115.0,Medium Movie,Licensed,115.0
s48,Tv Show,The Smart Money Woman,Bunmi Ajakaiye,"Osas Ighodaro, Ini Dima-Okojie, Kemi Lala Akindoju, Toni Tones, Ebenezer Eno, Eso Okolocha Dike, Patrick Diabuah, Karibi Fubara, Temisan Emmanuel, Timini Egbuson",Unknown,2021-09-16,2020-01-01,TV-MA,1 season,"International Tv Shows, Romantic Tv Shows, Tv Comedies","five glamorous millennials strive for success as they juggle careers, finances, love and friendships. based on arese ugwu's 2016 best-selling novel.",1.0,season,2021.0,1.0,Single Season Show,Licensed,1.0
s49,Movie,Training Day,Antoine Fuqua,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes",United States,2021-09-16,2001-01-01,R,122 min,"Dramas, Thrillers",a rookie cop with one day to prove himself to a veteran lapd narcotics officer receives a crash course in his mentor's questionable brand of justice.,122.0,min,2021.0,122.0,Long Movie,Licensed,122.0
s50,Tv Show,Castle And Castle,Unknown,"Richard Mofe-Damijo, Dakore Akande, Bimbo Manuel, Blossom Chukwujekwu, Deyemi Okanlawon, Etim Effiong, Denola Grey, Duke Akintola, Eku Edewor, Ade Laoye, Anee Icha, Kevin Ushi, Jude Chukwuka, Amanda Afolabi",Nigeria,2021-09-15,2021-01-01,TV-MA,2 seasons,"International Tv Shows, Tv Dramas","a pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.",2.0,season,2021.0,2.0,Multi Season Show,Original,2.0
s51,Tv Show,Dharmakshetra,Unknown,"Kashmira Irani, Chandan Anand, Dinesh Mehta, Ankit Arora, Pushkar Goggiaa, Anjali Rana, Aarya Dharmchand Kumar, Amit Behl, Maleeka Ghai",India,2021-09-15,2014-01-01,TV-PG,1 season,"International Tv Shows, Tv Dramas, Tv Sci-Fi & Fantasy","after the ancient great war, the god chitragupta oversees a trial to determine who were the battle's true heroes and villains.",1.0,season,2021.0,1.0,Single Season Show,Licensed,1.0
s52,Movie,Inuyasha The Movie 2: The Castle Beyond The Looking Glass,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Mieko Harada, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Kenichi Ogata, Toshiyuki Morikawa, Izumi Ogami",Japan,2021-09-15,2002-01-01,TV-14,99 min,"Action & Adventure, Anime Features, International Movies","with their biggest foe seemingly defeated, inuyasha and his friends return to everyday life. but the peace is soon shattered by an emerging new enemy.",99.0,min,2021.0,99.0,Medium Movie,Licensed,99.0
s53,Movie,Inuyasha The Movie 3: Swords Of An Honorable Ruler,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Ken Narita, Akio Otsuka, Kikuko Inoue",Japan,2021-09-15,2003-01-01,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",the great dog demon beaqueathed one of the three swords of the fang to each of his two sons. now the evil power of the third sword has been awakened.,99.0,min,2021.0,99.0,Medium Movie,Licensed,99.0
s54,Movie,Inuyasha The Movie 4: Fire On The Mystic Island,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Ken Narita, Cho, Mamiko Noto, Nobutoshi Canna",Japan,2021-09-15,2004-01-01,TV-PG,88 min,"Action & Adventure, Anime Features, International Movies","ai, a young half-demon who has escaped from horai island to try to help her people, returns with potential saviors inuyasha, sesshomaru and kikyo.",88.0,min,2021.0,88.0,Medium Movie,Licensed,88.0
s55,Movie,Inuyasha The Movie: Affections Touching Across Time,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Kenichi Ogata, Noriko Hidaka, Hisako Kyoda, Ken Narita, Tomokazu Seki",Japan,2021-09-15,2001-01-01,TV-PG,100 min,"Action & Adventure, Anime Features, International Movies","a powerful demon has been sealed away for 200 years. but when the demon's son is awakened, the fate of the world is in jeopardy.",100.0,min,2021.0,100.0,Medium Movie,Licensed,100.0
s56,Tv Show,Nailed It,Unknown,"Nicole Byer, Jacques Torres",United States,2021-09-15,2021-01-01,TV-PG,6 seasons,Reality Tv,"home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. it's part reality contest, part hot mess.",6.0,season,2021.0,6.0,Multi Season Show,Original,6.0
s57,Movie,Naruto Shippuden The Movie: Blood Prison,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Rikiya Koyama, Kazuhiko Inoue, Masaki Terasoma, Mie Sonozaki, Yuichi Nakamura, Kengo Kawanishi, Kosei Hirota, Masako Katsuki",Japan,2021-09-15,2011-01-01,TV-14,102 min,"Action & Adventure, Anime Features, International Movies","mistakenly accused of an attack on the fourth raikage, ninja naruto is imprisoned in the impenetrable hozuki castle and his powers are sealed.",102.0,min,2021.0,102.0,Medium Movie,Licensed,102.0
s58,Movie,Naruto Shippûden The Movie: Bonds,Hajime Kamegaki,"Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama, Unsho Ishizuka, Motoko Kumai, Kazuhiko Inoue, Rikiya Koyama, Showtaro Morikubo, Nana Mizuki, Satoshi Hino, Shinji Kawada",Japan,2021-09-15,2008-01-01,TV-PG,93 min,"Action & Adventure, Anime Features, International Movies","when strange ninjas ambush the village of konohagakure, it's up to adolescent ninja naruto and his long-missing pal, sasuke, to save the planet.",93.0,min,2021.0,93.0,Medium Movie,Licensed,93.0
s59,Movie,Naruto Shippûden The Movie: The Will Of Fire,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Kazuhiko Inoue, Satoshi Hino, Showtaro Morikubo, Kentaro Ito, Ryoka Yuzuki, Kohsuke Toriumi, Nana Mizuki, Shinji Kawada, Yoichi Masukawa, Koichi Tochika, Yukari Tamura",Japan,2021-09-15,2009-01-01,TV-PG,96 min,"Action & Adventure, Anime Features, International Movies","when four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.",96.0,min,2021.0,96.0,Medium Movie,Licensed,96.0
